Date,Delhi,Jaipur,Lucknow,Kanpur,Bhopal,Ahmedabad,Kolkata,Surat,Nagpur,Mumbai,Pune,Visakhapatnam,Hyderabad,Chennai,Bengaluru
2022-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17168221,0.0
2022-03-27,0.0,0.0,0.37218451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88015,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,0.0,0.0,0.0,0.0,0.27977714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30,0.0,0.0,0.0,0.0,0.0,0.0,3.0353677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067254
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42175072,0.0,0.0,0.0
2022-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040140353,0.0,0.0,0.0
2022-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25766483,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09687315,0.0,0.42472795
2022-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15526807,0.0,0.0,0.0
2022-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8944893
2022-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9047217,10.26281
2022-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51399696,0.0,0.0,0.0,0.0,0.0,11.249037
2022-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4485878,0.0,2.1481614
2022-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4887499,6.8863378
2022-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4039059,1.0141028
2022-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.231079,0.0,0.0,12.238409
2022-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.231079,0.0,0.0,7.093014
2022-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,5.4219527,0.0,0.0,0.0,0.0,0.0,0.8109324,0.0,0.0
2022-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.45207024,0.0,0.4670244,0.0,1.8864125,0.0,15.681994,0.0,0.39595887
2022-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9224005,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3539707,1.3760104,0.0,0.0,0.0
2022-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25448647,0.0,0.0,0.0
2022-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-27,0.0,0.0,0.0,0.0,0.0,0.0,2.8219864,0.0,0.10462679,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68003595,0.0,0.0,0.0
2022-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3644729,0.0,0.0,0.0,0.0
2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,8.086336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199892
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5.850209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.453108
2022-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2335141
2022-05-03,0.0,0.0,0.0,1.6586014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.49575,0.0,0.0,11.688708
2022-05-04,0.058666304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.531014,1.2927482,8.150936
2022-05-05,0.0,0.0,0.0,0.0,0.0,0.0,5.3887485999999996,0.0,0.0,0.0,0.0,12.967949,0.0,0.0,7.9441404
2022-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4876437,0.0,4.1898556
2022-05-07,0.0,0.0,0.0,0.48815772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43583173
2022-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4235449,10.213941
2022-05-09,0.20073305,0.0,0.0,0.0,0.0,0.0,8.877543,0.0,0.0,0.0,0.0,0.0,0.0,6.672472,8.591528
2022-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6280287,7.534725,3.3817048,6.092106,24.562952
2022-05-11,0.0,0.0,5.009229,0.0,0.0,0.0,17.267895,0.0,0.0,0.0,0.07761549,26.065088,8.842038,6.6452637,8.020478
2022-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3696878,0.0,0.0,0.0,5.7028365,1.3184093,9.068868
2022-05-13,0.0,2.0039961,0.0,0.0,0.0,0.0,37.899853,0.0,0.40757737,0.0,0.0,0.0,0.0,0.8871666,2.8976607
2022-05-14,0.0,0.0,0.0,0.0,0.0,0.0,14.951322,0.0,0.0,0.0,0.0,0.0,1.9205781,1.8576106,10.123356
2022-05-15,0.0,0.0,0.0,0.0,0.0,0.0,2.3652651,0.0,0.0,0.0,0.0,0.0,0.08865493,3.0917442,12.813076
2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4257095,3.4748414,26.3558
2022-05-17,0.0,0.0,0.0,0.0,0.0,0.0,8.093797,0.0,0.0,0.0,0.0,0.34132743,7.1256313,3.2975147,26.675766
2022-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7575605,0.0,0.0,0.0,0.74253345,1.2190275,14.8695345
2022-05-19,0.0,0.0,0.0,1.9079498,0.0,0.0,0.0,0.0,1.18512,0.0,3.6417313,0.0,2.6321445,0.0,1.3000588
2022-05-20,0.0,0.0,5.095593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7677245,0.0,0.0
2022-05-21,0.0,0.0,0.0,0.0,0.0,0.0,33.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,27.829401,8.181355,6.685104,5.4692187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19927731,0.0,0.0,11.299268,0.0,0.0,0.0
